SongName,ArtistName,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,URL,cluster
FEFE,6ix9ine,0,0.878,0.64,0,-5.641,1,0.0591,0.142,0.0,0.0981,0.658,124.069,200524,https://i.scdn.co/image/ab67616d0000b2730a4da3f1a72e4ecaabb76370,2
Magic,Lil Skies,0,0.878,0.64,0,-5.641,1,0.0591,0.142,0.0,0.0981,0.658,124.069,200524,https://i.scdn.co/image/ab67616d0000b27335007bd796b1020b6f1fd816,2
Look at the Sky,Porter Robinson,40,0.523,0.108,0,-21.457,1,0.0411,0.947,0.826,0.0987,0.139,112.001,131637,https://i.scdn.co/image/ab67616d0000b273cc488ae780ca22c0ba8b9f28,3
So What (feat. A R I Z O N A),Louis The Child,40,0.523,0.108,0,-21.457,1,0.0411,0.947,0.826,0.0987,0.139,112.001,131637,https://i.scdn.co/image/ab67616d0000b273976e5d846eafd977a8fa6dbb,3
Taste of You (feat. Dove Cameron),Rezz,40,0.523,0.108,0,-21.457,1,0.0411,0.947,0.826,0.0987,0.139,112.001,131637,https://i.scdn.co/image/ab67616d0000b27352ef90ae4b6373ff9aa821bb,3
Deep Blue,William Black,40,0.523,0.108,0,-21.457,1,0.0411,0.947,0.826,0.0987,0.139,112.001,131637,https://i.scdn.co/image/ab67616d0000b27380ebce41193dc3cdde3f0881,3
Gasoline (feat. Laura White),Cash Cash,40,0.523,0.108,0,-21.457,1,0.0411,0.947,0.826,0.0987,0.139,112.001,131637,https://i.scdn.co/image/ab67616d0000b2736dadaf428d27bfc813646f86,3
In Your Arms (with X Ambassadors),ILLENIUM,40,0.523,0.108,0,-21.457,1,0.0411,0.947,0.826,0.0987,0.139,112.001,131637,https://i.scdn.co/image/ab67616d0000b273529c6fa82d23f65076c1579b,3
WOW (with Emma Steinbakken),Matoma,40,0.523,0.108,0,-21.457,1,0.0411,0.947,0.826,0.0987,0.139,112.001,131637,https://i.scdn.co/image/ab67616d0000b2730a1d98c5d3a651027597048c,3
Shut The World Out,Kasbo,69,0.898,0.759,7,-4.942,1,0.114,0.227,0.00102,0.104,0.24,127.966,180152,https://i.scdn.co/image/ab67616d0000b2736d2ea01f1b5163f4a0df48a2,2
Moon Rider (feat. Wrabel),Jai Wolf,62,0.541,0.653,5,-5.954,1,0.04,0.00531,0.0,0.126,0.264,123.854,212468,https://i.scdn.co/image/ab67616d0000b2731ab5b89f4f46446974caf32d,2
I Love You.,Kaivon,87,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,154983,https://i.scdn.co/image/ab67616d0000b2736a2e7f7613210a6397e854f5,2
Good Things Fall Apart (with Jon Bellion),ILLENIUM,78,0.73,0.861,1,-4.1,1,0.0451,0.39,0.0,0.213,0.704,117.965,196613,https://i.scdn.co/image/ab67616d0000b273529c6fa82d23f65076c1579b,2
